name,uri,id
2020 BoT,spotify:playlist:58wHYKU1vUgX5FX72BOick,58wHYKU1vUgX5FX72BOick
2019 BoT,spotify:playlist:34h1MFoXUTFgfmlM78L00X,34h1MFoXUTFgfmlM78L00X
2018 BoT,spotify:playlist:1oPo5AUpHcWKFZwaTbJ5HP,1oPo5AUpHcWKFZwaTbJ5HP
2017 BoT,spotify:playlist:51hwS5Wsym9NqHCI9OUV4C,51hwS5Wsym9NqHCI9OUV4C
2019 Ballads,spotify:playlist:2pClkblHh7HwzjtlX4kYrT,2pClkblHh7HwzjtlX4kYrT
2017 Ballads,spotify:playlist:64xEJo1WM6j06wL8dHPhwb,64xEJo1WM6j06wL8dHPhwb
In A Good Way,spotify:playlist:7yxdcUK4jGrqqJkq5kgghM,7yxdcUK4jGrqqJkq5kgghM
Freak Like U - Club Mix,spotify:playlist:3tMMdWc3VwTVFLU3TWWxky,3tMMdWc3VwTVFLU3TWWxky
The Birthday Party,spotify:playlist:5rzHGRNIyOE94whEWwOkJ5,5rzHGRNIyOE94whEWwOkJ5
mike,spotify:playlist:2tp0a6Io4kuWLkiCBAymi5,2tp0a6Io4kuWLkiCBAymi5
Save Tonight – Eagle-Eye Cherry,spotify:playlist:28Ayfm9lHNOqdNU9KWCDps,28Ayfm9lHNOqdNU9KWCDps
hanukkah,spotify:playlist:5lqNN4Oy344lP8zWHkMD6l,5lqNN4Oy344lP8zWHkMD6l
When The Fires Come,spotify:playlist:6s1L7y6c15PAQetZNmyB0t,6s1L7y6c15PAQetZNmyB0t
All I Need – Small Crush,spotify:playlist:2IkiASvkwEPcvhaj3E96oD,2IkiASvkwEPcvhaj3E96oD
Get Pure,spotify:playlist:3uLpnhinvq9fg0XZjB4vE6,3uLpnhinvq9fg0XZjB4vE6
Holidays,spotify:playlist:2vCsQwWFODNd3aRfvfTWQW,2vCsQwWFODNd3aRfvfTWQW
Speaker Test,spotify:playlist:4ccWHr0VcyWDt4NobeCNDA,4ccWHr0VcyWDt4NobeCNDA
Sister Golden Hair,spotify:playlist:3vzuoQXqUpvhrRNvgzxqiO,3vzuoQXqUpvhrRNvgzxqiO
Purple City Byrdgang,spotify:playlist:1JW4fUWo7lsvTh1Xo6iDae,1JW4fUWo7lsvTh1Xo6iDae
Takeoff,spotify:playlist:524WiFmNmxY6S2IOm1VwBB,524WiFmNmxY6S2IOm1VwBB
A Ten,spotify:playlist:3myN5iUEf1vaWEPCtXLG35,3myN5iUEf1vaWEPCtXLG35
Mac's Covers,spotify:playlist:0e0QQb5oK3vh9sfjnabSoB,0e0QQb5oK3vh9sfjnabSoB
The Knock – Hop Along,spotify:playlist:30wDTrvVCBjLykKFa59ySb,30wDTrvVCBjLykKFa59ySb
Classics,spotify:playlist:2ArwFqagxQnpN9fLVS8AQ8,2ArwFqagxQnpN9fLVS8AQ8
It Ain't Safe,spotify:playlist:23uQNMUADJHAlh1N80YCGU,23uQNMUADJHAlh1N80YCGU
That Kind of Girl,spotify:playlist:4KK0RwxptbHhyTVDvxmThS,4KK0RwxptbHhyTVDvxmThS
Caroline,spotify:playlist:0CDYvPDJSgXmOerZrhh5oL,0CDYvPDJSgXmOerZrhh5oL
vibe[0],spotify:playlist:2Xy3WaQVS4cugBhFzBGPUe,2Xy3WaQVS4cugBhFzBGPUe
Skrt,spotify:playlist:3y3PjvBNmiW6fnFfEdcyrq,3y3PjvBNmiW6fnFfEdcyrq
KoL,spotify:playlist:7hQ9hKtqqXTQdVM37sHoZF,7hQ9hKtqqXTQdVM37sHoZF
1994,spotify:playlist:4Bsr2ujeJrvYt9ytU0lURg,4Bsr2ujeJrvYt9ytU0lURg
Pinegrove,spotify:playlist:3FIHEndN2bJ5XQ08avnSZm,3FIHEndN2bJ5XQ08avnSZm
Calvin Harris — Holiday,spotify:playlist:0P5zdbCW2SkRUm6s5p1KQE,0P5zdbCW2SkRUm6s5p1KQE
Sultans Of Swing – Dire Straits,spotify:playlist:1mAukfb31ABT4eThGkPDSx,1mAukfb31ABT4eThGkPDSx
Tune In,spotify:playlist:09awbTTvDNO2mgLtB5onqa,09awbTTvDNO2mgLtB5onqa
